,R&D Spend,Administration,Marketing Spend,State,Profit
0,165349.30000000002,136897.9,471784.19999999995,New York,192261.93
1,162597.80000000002,151377.69,443898.63,California,191792.16
2,153441.61000000002,101145.65000000001,407934.63999999996,Florida,191050.49000000002
3,144372.51,118671.95000000001,383199.72,New York,182902.09
4,142107.44,91391.87000000001,366168.51999999996,Florida,166188.04
5,131877.0,99814.81000000001,362861.45999999996,New York,156991.22
6,134615.56,147198.97,127716.92000000001,California,156122.61000000002
7,130298.23000000001,145530.16,323876.77999999997,Florida,155752.7
8,120542.62000000001,148719.05000000002,311613.38999999996,New York,152211.87
9,123334.98000000001,108679.27,304981.72,California,149760.06
10,101913.18000000001,110594.21,229161.05000000002,Florida,146122.05000000002
11,100672.06000000001,91790.71,249744.65,California,144259.5
12,93863.85,127320.48000000001,249839.54,Florida,141585.62
13,91992.49,135495.17,252665.03,California,134307.45
14,119943.34000000001,156547.52000000002,256513.02000000002,Florida,132602.75
15,114523.71,122616.94,261776.33000000002,New York,129917.14
16,78013.21,121597.65000000001,264346.16,California,126993.03
17,94657.26000000001,145077.68,282574.41,New York,125370.47
18,91749.26000000001,114175.89,294919.67,Florida,124267.0
19,86419.8,153514.21,0.1,New York,122776.96
20,76253.96,113867.40000000001,298664.56999999995,California,118474.13
21,78389.57,153773.53,299737.38999999996,New York,111313.12000000001
22,73994.66,122782.85,303319.36,Florida,110352.35
23,67532.63,105751.13,304768.82999999996,Florida,108734.09000000001
24,77044.11,99281.44,140574.91,New York,108552.14
25,64664.81,139553.26,137962.72,California,107404.44
26,75328.97,144136.08000000002,134050.17,Florida,105733.64
27,72107.70000000001,127864.65000000001,353183.91,New York,105008.41
28,66051.62000000001,182645.66,118148.3,Florida,103282.48000000001
29,65605.58,153032.16,107138.48000000001,New York,101004.74
30,61994.58,115641.38,91131.34000000001,Florida,99937.69
31,61136.479999999996,152702.02000000002,88218.33,New York,97483.66
32,63408.96,129219.71,46085.35,California,97427.94
33,55494.049999999996,103057.59000000001,214634.91,Florida,96779.02
34,46426.17,157694.02000000002,210797.77000000002,California,96712.90000000001
35,46014.119999999995,85047.54000000001,205517.74000000002,New York,96479.61
36,28663.859999999997,127056.31000000001,201126.92,Florida,90708.29000000001
37,44070.049999999996,51283.24,197029.52000000002,California,89949.24
38,20229.69,65948.03,185265.2,New York,81229.16
39,38558.61,82982.19,174999.4,California,81005.86
40,28754.43,118546.15000000001,172795.77000000002,California,78240.01000000001
41,27893.019999999997,84710.87000000001,164470.81,Florida,77798.93000000001
42,23641.03,96189.73000000001,148001.21,California,71498.59000000001
43,15505.83,127382.40000000001,35534.27,New York,69759.08
44,22177.84,154806.24000000002,28334.82,California,65200.43
45,1000.33,124153.14,1904.03,New York,64926.18
46,1315.56,115816.31000000001,297114.56,Florida,49490.85
47,0.1,135427.02000000002,0.1,California,42559.83
48,542.15,51743.25,0.1,New York,35673.51
49,0.1,116983.90000000001,45173.159999999996,California,14681.5
